nbhd_code,PM25_1998,PM25_1999,PM25_2000,PM25_2001,PM25_2002,PM25_2003,PM25_2004,PM25_2005,PM25_2006,PM25_2007,PM25_2008,PM25_2009,PM25_2010,PM25_2011,PM25_2012,PM25_2013,PM25_2014,PM25_2015,PMTREND
casablanca_023,7.954891304,6.015217391,5.248913043,5.428804348,5.954891304,5,5.383152174,6.788043478,5.619021739,6,6,5.248913043,6.015217391,5,4.954891304,7,6.954891304,10.54130435,0.737599274
casablanca_018,7.744849959,6,5,5.02514193,5.744849959,5,5.029034874,6.637631792,5.029034874,5.926358475,5.959286294,5,6,5,4.653852393,6.812652068,6.699594485,10.19578264,0.729138575
casablanca_032,7.304104478,6,5.004975124,5.004975124,5.312810945,5,5.004975124,6.180348259,5.03949005,5.713930348,5.730099502,5.004975124,6,5,4.135883085,6.473880597,6.312810945,9.814365672,0.623434042
casablanca_030,8.726814112,6.933248697,6.212047307,6.354102633,6.845549913,5.780435654,6.469163437,7.854871041,6.581751971,7.196077776,7.01349726,5.958806628,7.33642924,5.721368435,5.48827342,7.960410263,7.951890953,12.92198984,0.991898457
casablanca_034,7.485386819,6,5,5,5.485386819,5,5.016045845,6.485386819,5.016045845,5.699713467,5.699713467,5,6,4.954727794,4.408022923,6.408022923,6.408022923,10.20744986,0.667269895
casablanca_001,7.757053757,6,5,5.041283041,5.757053757,5,5.041283041,6.757053757,5.041283041,5.918621919,5.918621919,5,6,5,4.396198396,6.757053757,6.757053757,10.0959311,0.672906432
casablanca_013,8.003283213,6.407118386,5.580605253,5.655262657,6.334935287,5.274980967,5.718595356,7.286258089,5.683146174,6.516368481,6.329891511,5.394984774,6.571326608,5.26498858,4.848639132,7.170679482,7.205700419,11.20812714,0.764191458
casablanca_003,7.766225889,6.227587044,5.301953172,5.55028509,6.028023778,5.042460269,5.630474342,6.983986413,5.514982409,6.324153827,5.922115735,5.240082494,6.227587044,5.015043067,4.782603421,6.878199685,6.819847143,10.38262768,0.621879251
casablanca_029,7.949306661,6.101159354,5.386451466,5.656285519,6.057058422,5.101159354,5.728574676,7.072289157,5.554898841,6.101159354,6.101159354,5.270516026,6.159127074,5.08592862,4.882473289,7.101159354,7.008183678,10.55489884,0.677893536
casablanca_004,8.22675934,6.73124819,5.849551115,5.987402259,6.449319432,5.567477556,5.849551115,7.408340573,5.937156096,6.675354764,6.675354764,5.74283232,6.703011874,5.567477556,5.217492036,7.654068926,7.529539531,11.11482769,0.764489801
casablanca_017,8.063134978,6.287373004,5.582002903,5.856313498,6.063134978,5.218432511,5.767053701,7.164005806,5.830188679,6.218432511,6.218432511,5.767053701,6.287373004,5.218432511,5.063134978,7.218432511,7.164005806,10.64513788,0.691681607
casablanca_028,10.30568536,8.569314642,8.330607477,8.569314642,8.569314642,7.569314642,8.214174455,9.828271028,8.814252336,9.217679128,9.101246106,8.218847352,9.24376947,7.569314642,7.429906542,10.30451713,10.10124611,14.88901869,1.18668602
casablanca_020,9,7,6.5,7,7,6,6.5,8,7,7.5,7.5,6.5,7.5,6,6,8.5,8.5,12.5,1.00619195
casablanca_024,10.86396396,9.089189189,9,9.089189189,9.23963964,8.089189189,8.845945946,10.66306306,9.706306306,10,9.845945946,8.863963964,10,8.089189189,8,11.08918919,10.84594595,15.72432432,1.291123942
casablanca_007,10.22120065,8.772489634,8.332431945,8.67856499,8.772489634,7.761672976,8.221200649,9.957634758,8.797548224,9.191094285,9.18388318,8.244817018,9.334595277,7.772489634,7.542094826,10.37768163,10.16946097,14.53578511,1.120644058
barcelona_22,17.77113665,17.80766284,19.14227331,16.18595147,17.78518519,16.14227331,15.99489144,15.63601533,15.98467433,14.51698595,15.20817369,13.80766284,14.66641124,16.14227331,15.66845466,12.52183908,12.80766284,14.9734355,-2.612214935
barcelona_39,15.97972973,15.98648649,17.2347973,14.2347973,16.2347973,14.2347973,12.49662162,12.49662162,12.49662162,11.49662162,11.49662162,12.2347973,12.97972973,13.98648649,13.97972973,11.2347973,11.2347973,12.98648649,-2.448871084
barcelona_40,14.34934498,14.41339156,16.04366812,13.04366812,14.88791849,13.04366812,11.42649199,11.42649199,11.42649199,10.42649199,10.58224163,10.88791849,11.34934498,12.34934498,12.34934498,9.887918486,9.887918486,11.41339156,-2.542710487
barcelona_43,13.90134529,14.36547085,15.49103139,12.49103139,14.36547085,12.36547085,11.34977578,11.34977578,11.34977578,10.34977578,10.34977578,10.36547085,10.90134529,11.90134529,11.90134529,9.365470852,9.49103139,11.36547085,-2.514889836
barcelona_28,13.8057554,13.8057554,15.57553957,12.57553957,14.57553957,12.57553957,11.34532374,11.34532374,11.34532374,10.34532374,10.34532374,10.57553957,10.8057554,11.8057554,11.8057554,9.575539568,9.575539568,10.8057554,-2.539590619
barcelona_41,11.01133144,11.02266289,13.01133144,10.01133144,12.01133144,10.01133144,9.011331445,9.011331445,9.011331445,8.011331445,8.011331445,8.011331445,8.011331445,9.011331445,9.011331445,7.011331445,7.011331445,8.02266289,-2.579745478
barcelona_38,11.37383178,11.37383178,13.37383178,10.37383178,12.37383178,10.37383178,9.373831776,9.373831776,9.373831776,8.373831776,8.373831776,8.373831776,8.373831776,9.373831776,9.373831776,7.373831776,7.373831776,8.373831776,-2.579979363
barcelona_29,11,11,13,10,12,10,9,9,9,8,8,8,8,9,9,7,7,8,-2.57997936
barcelona_25,12.20499109,13.19073084,14.19073084,11.19073084,13.19073084,11.19073084,11.16221034,11.16221034,11.16221034,10.16221034,10.16221034,9.190730838,9.204991087,10.76470588,10.20499109,8.190730838,8.190730838,10.19073084,-2.556009928
barcelona_27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN
barcelona_26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN
barcelona_24,11,12,13,10,12,10,10,10,10,9,9,8,8,9,9,7,7,9,-2.610939112
barcelona_23,12.88648649,13.70945946,14.70945946,11.82162162,13.70945946,11.70945946,11.70945946,11.70945946,11.57027027,10.70945946,10.70945946,9.709459459,9.886486486,11.29594595,10.88648649,8.704054054,8.709459459,10.70945946,-2.566661088
barcelona_21,12.10136452,12.791423,13.791423,10.791423,12.791423,10.791423,10.791423,10.791423,10.49707602,9.791423002,9.791423002,8.791423002,9.101364522,10.49707602,9.791423002,7.791423002,8.101364522,9.791423002,-2.526368092
barcelona_20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN
barcelona_19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN
barcelona_18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN
barcelona_8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN
barcelona_9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN
barcelona_15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN
barcelona_14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN
barcelona_16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN
barcelona_17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN
barcelona_13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN
barcelona_11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN
barcelona_12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN
barcelona_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN
barcelona_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN
barcelona_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN
barcelona_10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN
barcelona_7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN
barcelona_31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN
barcelona_30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN
barcelona_37,11,11,13,10,12,10,9,9,9,8,8,8,8,9,9,7,7,8,-2.57997936
barcelona_32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN
barcelona_34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN
barcelona_36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN
barcelona_33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN
barcelona_6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN
barcelona_35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN
barcelona_64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN
barcelona_63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN
barcelona_62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN
barcelona_65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN
barcelona_5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN
barcelona_66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN
